Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.61764706,71.64285714,66.77083333,60.0625,54.4375,47.77083333,46.52083333,43.72916667,37.39583333,35.4,33.12,32.32,32.03846154,31.57692308,29.28846154,27.82692308,26.82692308,,,
Afghanistan,AFG,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5,9.5,9.5,10.5,10.5,9.5,9.5,9.5,9.5,6.5,8.5,8.5,8.5,8.5,8.5,8.5,,,
Africa Western and Central,AFW,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,43.8,59.525,59.83333333,55.83333333,54.95238095,50.80952381,49.80952381,37.61904762,35.76190476,29.33181818,25.42272727,25.17272727,24.2,17.90454545,17.74545455,15.25909091,,,
Angola,AGO,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,83,83,83,83,68,68,66,66,66,66,66,36,36,36,36,36,,,
Albania,ALB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,40,41,39,37,10,6,6,6,5,5,5,5,5,5,4.5,4.5,,,
Andorra,AND,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.56923077,42.24375,39.71666667,38.49444444,32.175,22.27,21.615,21.64,21.085,21.84285714,20.60952381,19.61428571,22.2,23.30909091,21.55909091,20.67272727,19.65454545,,,
United Arab Emirates,ARE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,19.3,19.3,19.3,18.3,18.2,15.2,15.2,13.2,8.2,8.3,8.3,8.3,8.3,8.3,3.8,3.8,,,
Argentina,ARG,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.5,29.5,29.5,29.5,29.5,30,25,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11,11.5,,,
Armenia,ARM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,17,17,17,14,14,8,8,5,5,5,5,5,4,4,,,
American Samoa,ASM,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,22,22,22,22,22,22,22,22,22,22,22,22,22,19,,,
Australia,AUS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,,,
Austria,AUT,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,25,25,25,25,25,25,25,25,22,22,21,21,21,21,,,
Azerbaijan,AZE,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,121,113,51,36,10,10,8,8,8,7,5.5,3.5,3.5,3.5,3.5,3.5,,,
Burundi,BDI,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,13,13,13,13,13,13,13,7,5,5,4,4,4,5,5,,,
Belgium,BEL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,34,34,27,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5,,,
Benin,BEN,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,34.5,34.5,34.5,34.5,34.5,34.5,34.5,32.5,29.5,18.5,12.5,12.5,8.5,8.5,8.5,8.5,,,
Burkina Faso,BFA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,34,18,16,14,14,13,13,13,13,13,13,13,13,13,,,
Bangladesh,BGD,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,19.5,19.5,19.5,19.5,19.5,19.5,,,
Bulgaria,BGR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,39,39,39,39,56,25,25,25,25,25,25,25,23,23,23,23,,,
Bahrain,BHR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,9.4,9.3,9.3,9.3,9.3,9.3,9.4,9.4,8.3,8.3,8.3,8.3,,,
"Bahamas, The",BHS,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5,30.5,30.5,23.5,23.5,23.5,23.5,23.5,28.5,21.5,21.5,21.5,11.5,,,
Bosnia and Herzegovina,BIH,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,63,93,93,93,99,99,109,85,82,82,82,82,80,80,80,80,,,
Belarus,BLR,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,80,80,70,49,32,13,13,13,13,12,12,9,9,9,9,8.5,,,
Belize,BLZ,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,44,43,43,43,43,43,43,43,43,43,43,48,48,48,,,
Bermuda,BMU,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,59,49,49,49,49,49,49,49,49,49,49,49,45,41,39.5,39.5,,,
Brazil,BRA,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6,83.6,86,82.5,82.5,20.1,16.6,,,
Barbados,BRB,Time required to start a business (days),IC.REG.DURS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,18,19,19,16,16,16,16,,,
